,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
114,KEGG_2021_Human,Small cell lung cancer,1/92,0.6360055291057768,0.8629577933231618,0,0,0.9971641261963844,0.4512646530364611,COL4A5
113,KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/89,0.6237824638839239,0.8629577933231618,0,0,1.0313154587348137,0.4867330300411933,BATF3
123,KEGG_2021_Human,Protein digestion and absorption,1/103,0.6775364513939521,0.879704586084083,0,0,0.8891298454865817,0.3461310690178157,COL4A5
124,KEGG_2021_Human,Drug metabolism,1/108,0.6948204383319276,0.8906491834853977,0,0,0.8473663809810931,0.308527649072843,UGT2B11
125,KEGG_2021_Human,HIF-1 signaling pathway,1/109,0.6981649406387763,0.8906491834853977,0,0,0.8394777265745008,0.3016242627867004,EDN1
126,KEGG_2021_Human,Human papillomavirus infection,3/331,0.7025617782773013,0.8906491834853977,0,0,0.8275950085082246,0.292159196292404,TCF7L2;COL4A5;ITGB8
127,KEGG_2021_Human,Glutamatergic synapse,1/114,0.7143480115761893,0.8942184406739014,0,0,0.8021287875698381,0.2698241116323623,SLC1A2
128,KEGG_2021_Human,Coronavirus disease,2/232,0.7220397347056347,0.8942184406739014,0,0,0.7871175523349436,0.256344593381543,CXCL8;OAS3
129,KEGG_2021_Human,Ras signaling pathway,2/232,0.7220397347056347,0.8942184406739014,0,0,0.7871175523349436,0.256344593381543,CSF1;ETS2
130,KEGG_2021_Human,AMPK signaling pathway,1/120,0.7326314278017779,0.9004096173747042,0,0,0.7614529682840878,0.2368975598692703,SCD
131,KEGG_2021_Human,Lysosome,1/128,0.7552096530052079,0.9169528513057614,0,0,0.7131971406799956,0.2002371451892473,CD63
132,KEGG_2021_Human,Salmonella infection,2/249,0.7574946332416587,0.9169528513057614,0,0,0.7323061928325086,0.2033898626017145,TCF7L2;CXCL8
133,KEGG_2021_Human,FoxO signaling pathway,1/131,0.7631781495339878,0.9169528513057614,0,0,0.6966323998582064,0.1882745121511593,SGK1
139,KEGG_2021_Human,Gastric cancer,1/149,0.8058484316024137,0.9267256963427756,0,0,0.6113463694108855,0.1319649853791857,TCF7L2
138,KEGG_2021_Human,Phospholipase D signaling pathway,1/148,0.8036927480026786,0.9267256963427756,0,0,0.6155365371955234,0.1345182696897924,CXCL8
137,KEGG_2021_Human,Breast cancer,1/147,0.8015132403026095,0.9267256963427756,0,0,0.6197841045388549,0.1371295806635307,TCF7L2
135,KEGG_2021_Human,Ubiquitin mediated proteolysis,1/140,0.7855672351816548,0.9267256963427756,0,0,0.6512283260948845,0.1571734547680183,PIAS3
134,KEGG_2021_Human,Yersinia infection,1/137,0.778348742586289,0.9267256963427756,0,0,0.6656953103822174,0.1668103302846531,CXCL8
136,KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1/143,0.7925516849826209,0.9267256963427756,0,0,0.6373726228337768,0.1481875781623607,LIF
140,KEGG_2021_Human,mTOR signaling pathway,1/154,0.8162784651483571,0.9300500268588388,0,0,0.591217132014096,0.1200169157601152,SGK1
141,KEGG_2021_Human,Cellular senescence,1/156,0.8202925702730132,0.9300500268588388,0,0,0.5835290619889996,0.115593728163642,CXCL8
142,KEGG_2021_Human,Hippo signaling pathway,1/163,0.833666670116822,0.9386037334881704,0,0,0.558115719406042,0.1015333228731005,TCF7L2
